"","Mean_of_AbsErrors","Median_of_AbsErrors","SD_of_AbsErrors","IQR_of_AbsErrors","Min_of_AbsErrors","Max_of_AbsErrors"
"LM_t-test_1",15242.3513625242,11383.2131130363,13622.4460943086,16070.8488277325,28.1385000867012,67484.229164305
"LM_t-test_2",15422.6140341013,11168.6079837286,13969.0928050569,16485.4597363031,27.7268694552477,70847.1467873239
"PCR_1",13100.0602115515,9789.75734979178,12840.896231017,14235.7891924712,42.4058021397796,82593.0000656235
"PCR_2",12945.4486429628,9588.55993257392,12588.4008804905,12760.5672009474,62.5337233951723,89257.5300878196
"RidgeReg_1",12337.1772452805,9261.78170868157,11525.0403592518,12804.4988890834,1.49523967440473,81401.4144370561
"RidgeReg_2",12657.2617742071,9700.80263745478,11729.7997719519,12590.8008137532,23.4324025702081,87428.4201449026
"LASSOReg_1",13867.1846175349,10310.6746156283,12417.6491872479,14109.9354941028,14.6066179545014,70434.4329790937
"LASSOReg_2",13777.1583233511,10338.8597409497,12456.704889924,12891.8767909343,231.967937973997,69126.6477861735
"TreeReg_1",25920.1481025743,19208.0923586539,24535.9610391999,27445.2358907646,25.51345665587,141961.227976036
"TreeReg_2",25756.4188759901,19165.6816877904,24572.1463838605,26772.1249416811,53.9037459928513,141961.227976036
"Bagging_1",16501.4228143102,11502.4816088097,15562.1078199771,18636.1636775274,1.81235274136998,93483.2439977691
"Bagging_2",16551.3420616843,11828.6040676905,15515.4125478996,17478.2417802153,199.02078723762,96056.5199293168
"RandomForest_1",15840.3641764976,10745.6720626989,15566.4479579638,17979.494553912,133.768224327621,86761.9963197703
"RandomForest_2",15853.8872546085,10927.0809945584,15477.8543141684,17160.232318741,43.7041561234073,87635.7240162011
"GBReg",13930.1259102375,10060.9985684342,12723.7941189711,15427.1918601487,66.9855243360507,78976.0011083628
"XGBReg",13149.8217770146,9526.66904075449,12419.2980068221,13579.0030603838,113.899283255043,72610.9545901777
